slugID	title	subtitle	roles	seriesid	videoOrder	copy	youtubeId	href	mediaKind	mediaSrc	mediaAlt	mediaPoster	stripSources	vertical
andys-roadshow	Andy's Roadshow		Director | Writer | Editor	andys-originals			iLNypL04zH0		video	/videos/roadshow.mp4				
interstellar	Interstellar in Real Life	PitTV	Director | Writer | Editor	andys-originals			nl2-5DDL5nM		image					
securocam-3000	Securocam 3000	IFC Comedy Crib	Director | Co-writer | Editor	andys-originals		Web series selected by NYTVF and IFC Comedy Crib.	_SRIskz2JOY		image					
tuber	Tuber		Director | Writer | Editor	andys-originals			0U5SCBko2XM		video	/videos/tuber.mp4				
Apocalypse-1	Apocalypse Problems 1	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Director | DP | Editor	apocalypse-problems	1		X-u9YpCOkk4		image					
Apocalypse-gluten	Apocalypse Problems 2 - Gluten	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Director | DP | Editor	apocalypse-problems	2		klRZB8Q87oY		image					
Apocalypse-milk	Apocalypse Problems 3 - Milk	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Director | DP | Editor	apocalypse-problems	3		yeie8hpMldw		image					
Rizzle-1	Andy's Asian Afterlife Ep. 1	Rizzle's Asian Comedy Fest	Creator	asian-afterlife	1		iZDqZ6Bq1yI 		image					TRUE
Rizzle-2	Andy's Asian Afterlife Ep. 2	Rizzle's Asian Comedy Fest	Creator	asian-afterlife	2		taRJ5K7Emdo 		image					TRUE
Rizzle-3	Andy's Asian Afterlife Ep. 3	Rizzle's Asian Comedy Fest	Creator	asian-afterlife	3		HxXucJ6rFQA 		image					TRUE
death-becomes-her-series	Death Becomes Her	RPM Agency		branded-content	1	A series of BTS Social Promos for Broadway's Death Becomes Her.		series/death-becomes-her	video	/videos/dbh.mp4				
garden-of-eden	Mark Fisher Fitness	Garden of Eden ft. Douglas Widick	Director | Editor	branded-content	3	Social Promo for local gym	_oUdAdTUk0c		video	/videos/garden-of-eden.mp4				TRUE
Looking-like-a-snack	Combos	Lookin' Like a Snack ft. Akilah Hughes	Director | DP	branded-content	2	Branded spot for Combos	lMFubod8Gdc 		video	/videos/looking-like-a-snack.mp4				
European-boys	European Boys	Comedy Central Digital ft. Rose Kelso	Director | Editor	comedy-central	16		uE1Y7PHMdPc 		image					
freezing-your-eggs	Freezing Your Eggs	Comedy Central Digital	Director | Writer | Editor	comedy-central	10			https://www.instagram.com/reel/Cqs1xAFpnwI	image	/cadbury.jpg				TRUE
icontact	iContact	Comedy Central Digital ft. DeStorm	Director | Writer | Editor	comedy-central	6		aQN6jBk_LWc		image					
litterbox-office	The Litterbox Office	Comedy Central Digital	Director | Writer	comedy-central	4	7M Views!	KIdN_iYBW7A		image					
living-funeral-home	The Living Funeral Home	Comedy Central Digital ft. Lala Milan	Director | Writer | Editor	comedy-central	5		zcqkqql5VW0		image					
nothing-gay-in-the-wild-west	Nothing Gay in the Wild West	Comedy Central Digital ft. Brooks Allison & Rose Kelso	Director	comedy-central	15		bFYFLfq6nZo		image					
polyamorous-romcom	The Polyamorous RomCom	Comedy Central Digital ft. Yung Gravy	Director | Writer | Editor	comedy-central	2		XhMz5vRlya8		image					
rebirthing-center	The Rebirthing Center	Comedy Central Digital	Director | Writer	comedy-central	1	Webby-nominated short for Comedy Central Digital.	BXOaAgDnpd8		image					
remote-control-boss	Remote Control Boss	Comedy Central Digital	Director | Writer | Editor	comedy-central	3		2PPkDxOul_0		image					
rich-friend	Rich Friend	Comedy Central Digital ft. Anwar & Rose Kelso	Director	comedy-central	12		gSojwTO5QZs		image					
she-looks-like-her-dad	She Looks Like Her Dad	Comedy Central Digital ft. DeStorm & Rose Kelso	Director	comedy-central	13		lQankmO_xbQ		image					
staying-young-forever	Staying Young Forever	Comedy Central Digital ft. Lala Milan & Rose Kelso	Director	comedy-central	14		oCYzAHPMTUM		image					
take-a-deep-breath	Take a Deep F***ing Breath	Comedy Central Digital	Director | Writer | Editor	comedy-central	9		2Z4VgVKrveM		image	/breathe.jpg				TRUE
teen-uncle	Teen Uncle	Comedy Central Digital ft. Adam Waheed	Director | Editor	comedy-central	7		YUJIjQ0MytM		image					
vesting-up	Vesting Up	Comedy Central Digital	Director | Writer | Editor	comedy-central	11		DJCgT1gw8nc		image					TRUE
whameo	Whameo	Comedy Central Digital ft. Sven Johnson	Director | Writer | Editor	comedy-central	8		GBG1KLVBQPA		image					
Dbh-1	DBH - Rolling in the Aisles		Editor	death-becomes-her	8		8QGYE_5nfQM		image					
Dbh-2	DBH - Best Friends		Editor	death-becomes-her	9		IBTQMTwN7vc		image					
Dbh-3	Now a Musical? Ep. 1	ft. Noel Carey & Julia Mattison	Director | Producer | Editor	death-becomes-her	3		gvjDOk8T9Lo		image					
Dbh-4	Now a Musical? Ep. 2	ft. Noel Carey & Julia Mattison	Director | Producer | Editor	death-becomes-her	4		aLHsoQG-jEg		image					
Dbh-5	Now a Musical? Ep. 3	ft. Noel Carey & Julia Mattison	Director | Producer | Editor	death-becomes-her	5		j9SF9ys4IhA		image					
Dbh-6	Ask Marco Ep. 1	ft. Marco Pennette	Director | Producer | Editor	death-becomes-her	6		p0EQcb7oays		image					
Dbh-7	Ask Marco Ep. 2	ft. Marco Pennette	Director | Producer | Editor	death-becomes-her	7		go1LBg6iEew		image					
election-science-duvergers-law	Duverger's Law	Center for Election Science	Director | Editor	home		Volunteer work for election non-profit ElectionScience.org!	HpBRGXK-QNs		image					
Making-it-1	Making It Episode 1	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	1		dwXaeTYc3Tg 		image					TRUE
Making-it-10	Making It Episode 10	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	10		AROtp_lq240 		image					TRUE
Making-it-2	Making It Episode 2	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	2		bewb5mvMt2I 		image					TRUE
Making-it-3	Making It Episode 3	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	3		8Y7yt1P1gDc 		image					TRUE
Making-it-4	Making It Episode 4	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	4		MufrKX9LY_Q 		image					TRUE
Making-it-5	Making It Episode 5	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	5		OomH2JjVwrw 		image					TRUE
Making-it-6	Making It Episode 6	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	6		Y3335Qn42qI 		image					TRUE
Making-it-7	Making It Episode 7	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	7		wtLmfuCHG2A 		image					TRUE
Making-it-8	Making It Episode 8	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	8		S1L7zvRjuoM 		image					TRUE
Making-it-9	Making It Episode 9	Snap Originals ft. Dave Mizzoni	Director | DP | Editor	making-it	9		kZTRyPCdhes 		image					TRUE
instagram-betches	Instagram Betches		Director | DP	music-videos	3	Winner of Best Sketch at NYC Short Comedy Film Fest	hQO_LLV9tms		video	/videos/instagram_betches.mp4				
Pay-for-me	Pay For Me		Co-director | DP | Editor	music-videos	2		hVrMjp22IM0		video	/videos/payforme.mp4				
poor	Poor	ft. Anna Roisman	Director | DP	music-videos	1		AzjRdPLgj_k		video	/videos/poor.mp4				
apocalypse-problems-series	Apocalypse Problems 	SpoiledNYC ft. Gianmarco Soresi & Megan Sass		series	6			series/apocalypse-problems	video	/videos/apocalypse.mp4				
asian-afterlife-series	Andy's Asian Afterlife	Rizzle's Asian Comedy Fest		series	4	1000$ grand prize winner of Rizzle's Asian Comedy Fest. 		series/asian-afterlife	strip				/videos/rizzle3.mp4|/videos/rizzle1.mp4|videos/rizzle2.mp4	
comedy-central-series	Comedy Central Originals			series	1	At Comedy Central's Webby-winning Digital team, Andy directed & produced multiple series like Mini-Mocks, music videos, and other content collabs with notable influencers.		series/comedy-central	video	/videos/comedycentral.mp4				
honest-waitress-series	The Honest Waitress	PitTV		series	7			series/the-honest-waitress	video	/videos/waitress.mp4				
making-it-series	Making It	Snap Originals ft. Dave Mizzoni		series	2			series/making-it	video	/videos/makingit.mp4				
securocam-series	Securocam 3000	NYTVF & IFC Comedy Crib		series	5		_SRIskz2JOY 		video	/videos/securocam.mp4				
operators	Operators	Short Film	Director | Co-writer | Editor	shorts	1	Nevermore Film Fest 2024	aa2zI7PO-X8		video	/videos/Operators.mp4				
sqand	Sqand		Director | DP | Writer | Editor	shorts	3		fTbRmOHJp1I		video	/videos/sqand.mp4				
Tell-my-wife	Tell My Wife	Short Film	Co-director | Co-writer | Editor	shorts	2		daNydp3mpI0		video	/videos/Tell_My_Wife.mp4				
ask-alexa	Ask Alexa	ft. Anna Roisman & Lane Kwederis	Director | Editor	sketch	11		dQtJTZeBWUQ		video	/videos/alexa.mp4				
beauty-and-the-bowl	Beauty and the Bowl	ft. Gianmarco Soresi & Uncle Function	Director | DP | Editor	sketch	1	Sketch comedy featured on Funny Or Die.	nRWyNY1xmto		video	/videos/beautyandthebowl.mp4				
